order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_date
1,6090,273,0,50,2026-01-01,2025-12-01
1,1790,1126,2,50,invalid,invalid
3,6301,1994,-1,100,2026-01-01,2025-12-01
3,8644,302,-1,100,2026-01-01,
5,6164,951,5,,2026-01-01,2026-01-10
6,7376,562,-1,20,yesterday,2026-01-10
7,2038,433,2,20,01/01/2026,2026-01-10
8,8554,2057,5000,$25,invalid,2026-01-10
9,6403,690,0,,01/01/2026,2026-01-10
10,4939,1046,0,20,yesterday,2026-01-10
11,10222,1383,2,20,01/01/2026,
12,2195,681,-1,50,2026-01-01,2026-01-10
13,3035,921,1,20,invalid,
13,9536,1852,5000,,2026-01-01,
15,1281,713,1,-50,2026-01-01,
16,9545,1402,5,50,01/01/2026,
17,10558,314,2,$25,01/01/2026,invalid
18,3308,315,1,-50,invalid,2026-01-10
19,8643,1848,0,100,01/01/2026,invalid
20,75,26,-1,50,2026-01-01,2026-01-10
20,997,1714,5000,$25,01/01/2026,2025-12-01
22,4451,229,1,20,yesterday,2025-12-01
23,1439,1702,-1,20,yesterday,2025-12-01
24,8497,429,-1,-50,invalid,2026-01-10
24,8041,616,1,$25,2026-01-01,invalid
25,5738,229,5000,100,yesterday,
27,3824,1146,1,20,01/01/2026,invalid
27,1354,1688,1,-50,01/01/2026,invalid
28,5203,959,5000,$25,invalid,
30,1534,1753,1,20,yesterday,2026-01-10
31,2821,474,-1,100,01/01/2026,2025-12-01
32,409,1209,5000,100,01/01/2026,2025-12-01
33,6762,1918,0,,2026-01-01,invalid
33,2043,478,-1,100,yesterday,2026-01-10
35,1533,84,-1,50,2026-01-01,invalid
36,7260,1789,0,100,invalid,invalid
37,9969,1377,5,-50,01/01/2026,2026-01-10
38,4348,284,5000,50,yesterday,
39,7602,1576,0,,01/01/2026,invalid
40,7948,698,5,$25,2026-01-01,invalid
41,5641,898,1,50,2026-01-01,
42,10858,191,1,$25,2026-01-01,2025-12-01
43,4479,2142,0,20,01/01/2026,2026-01-10
44,2,779,5,$25,2026-01-01,invalid
44,1402,233,-1,20,01/01/2026,2026-01-10
46,5595,941,-1,-50,invalid,invalid
47,8548,1240,5,50,invalid,
47,8960,465,-1,-50,yesterday,2025-12-01
49,775,38,2,-50,01/01/2026,invalid
50,7628,1410,0,20,2026-01-01,
51,8817,51,5000,-50,yesterday,2025-12-01
52,6993,2157,2,-50,2026-01-01,
53,6497,1083,5,100,yesterday,
54,1091,253,1,50,yesterday,invalid
54,5077,749,0,100,yesterday,2026-01-10
56,8576,258,2,100,invalid,2025-12-01
57,6643,1414,2,$25,yesterday,
58,7397,1031,1,20,invalid,invalid
58,8624,1158,-1,50,yesterday,2025-12-01
60,4197,1356,2,$25,01/01/2026,2025-12-01
61,479,567,2,20,2026-01-01,2025-12-01
62,9512,1156,2,$25,yesterday,2026-01-10
63,594,439,1,50,01/01/2026,
64,5057,535,5000,,2026-01-01,2026-01-10
65,664,498,0,-50,invalid,2026-01-10
66,8347,830,2,100,invalid,2026-01-10
67,100,1748,5000,,yesterday,2026-01-10
68,4852,262,1,-50,01/01/2026,
68,10545,1856,0,-50,01/01/2026,invalid
70,6378,1807,-1,50,2026-01-01,invalid
71,1933,1990,-1,50,2026-01-01,2025-12-01
71,9892,115,5000,20,yesterday,
72,4761,728,-1,-50,01/01/2026,
74,10836,1811,0,50,invalid,invalid
75,1592,358,1,50,invalid,
76,5137,1568,0,100,invalid,invalid
77,5117,920,1,50,01/01/2026,2026-01-10
78,6328,319,2,-50,01/01/2026,2025-12-01
79,10839,596,-1,,2026-01-01,
79,63,2120,5,-50,yesterday,
81,7704,546,5,$25,2026-01-01,2026-01-10
81,10225,1980,1,-50,2026-01-01,
83,5222,655,0,-50,2026-01-01,2026-01-10
84,2657,2021,5,,2026-01-01,invalid
85,6974,340,2,50,2026-01-01,
86,6517,1024,2,50,01/01/2026,invalid
87,10531,2075,1,,yesterday,2026-01-10
88,1345,869,1,-50,01/01/2026,invalid
88,1476,1659,0,20,yesterday,invalid
89,8590,276,0,50,yesterday,invalid
90,1550,1110,1,-50,01/01/2026,invalid
92,9513,2020,1,20,yesterday,2025-12-01
93,1819,566,0,20,01/01/2026,2026-01-10
94,2021,1820,5000,20,yesterday,2025-12-01
94,3588,448,0,-50,01/01/2026,
96,9080,1061,2,-50,yesterday,invalid
97,7332,2049,5,20,invalid,
98,10655,463,2,20,yesterday,2026-01-10
99,6186,2099,0,50,yesterday,2026-01-10
100,4432,1091,-1,,yesterday,invalid
101,6014,2156,5000,$25,01/01/2026,invalid
102,2381,1465,-1,$25,01/01/2026,2025-12-01
103,9681,2014,5000,,01/01/2026,invalid
103,4358,651,1,100,2026-01-01,2026-01-10
105,6404,273,1,$25,2026-01-01,2025-12-01
106,7852,1996,5,-50,invalid,2025-12-01
107,8043,1753,5000,,yesterday,2025-12-01
108,6907,1258,2,-50,yesterday,invalid
108,3469,114,1,100,01/01/2026,2025-12-01
110,10791,561,0,,invalid,2025-12-01
111,613,1875,1,,yesterday,2025-12-01
111,6568,1786,5,-50,invalid,invalid
113,10500,1292,0,100,2026-01-01,2025-12-01
114,383,1642,0,-50,2026-01-01,2025-12-01
114,2352,1244,5,20,01/01/2026,
115,105,214,1,,invalid,2026-01-10
116,9086,294,1,-50,invalid,
118,3343,1636,2,,01/01/2026,invalid
119,3716,1945,5,20,invalid,
120,2524,758,5000,-50,2026-01-01,2025-12-01
120,9177,1123,0,,01/01/2026,
122,6153,2117,2,-50,invalid,
123,8607,1980,5000,20,01/01/2026,2025-12-01
124,7718,267,1,,invalid,invalid
125,680,92,0,-50,invalid,2026-01-10
126,8598,1577,0,$25,invalid,2025-12-01
127,371,2199,0,,invalid,2026-01-10
128,10749,1515,1,-50,invalid,invalid
128,4239,1255,-1,-50,01/01/2026,2025-12-01
130,4984,492,-1,-50,invalid,2025-12-01
131,1012,1158,2,-50,invalid,
132,1299,306,5000,-50,2026-01-01,2026-01-10
133,2261,622,0,,invalid,invalid
133,9771,643,0,-50,01/01/2026,
135,4556,399,0,$25,2026-01-01,
136,8802,1595,5,,yesterday,2026-01-10
137,6675,623,5000,20,2026-01-01,2025-12-01
137,8820,1902,5,-50,invalid,2026-01-10
139,2846,2082,0,-50,yesterday,2026-01-10
140,4375,1263,0,20,yesterday,
141,3727,213,5,20,2026-01-01,invalid
142,8531,949,5,,invalid,invalid
143,4616,754,0,20,01/01/2026,2026-01-10
144,2994,262,2,100,invalid,2025-12-01
145,3514,552,5000,100,2026-01-01,2025-12-01
145,6792,1652,5000,50,2026-01-01,invalid
147,6423,1690,1,$25,2026-01-01,2025-12-01
148,4977,282,1,20,2026-01-01,2025-12-01
149,1473,1470,1,50,yesterday,2026-01-10
150,6054,1042,5000,50,yesterday,invalid
151,10578,1119,1,20,invalid,
152,8544,2196,0,-50,invalid,invalid
153,10131,104,5000,,invalid,
154,6237,114,5,,2026-01-01,
155,6300,1133,1,50,yesterday,2025-12-01
156,1729,523,2,50,2026-01-01,
157,9152,2185,0,50,yesterday,invalid
158,2871,1301,5,100,invalid,invalid
159,3019,1688,5,-50,2026-01-01,2026-01-10
160,6726,572,-1,,invalid,
161,2393,134,5000,$25,2026-01-01,2026-01-10
161,711,1684,2,$25,01/01/2026,
162,1499,798,0,20,invalid,2026-01-10
164,119,834,0,100,01/01/2026,2026-01-10
165,148,1718,-1,$25,yesterday,2026-01-10
166,8129,1912,5000,100,yesterday,2026-01-10
167,5933,1354,0,50,01/01/2026,
167,6817,1265,0,,2026-01-01,
169,7481,2090,5,$25,2026-01-01,
170,9869,119,-1,100,2026-01-01,
170,290,882,2,-50,yesterday,2025-12-01
172,1593,225,2,20,invalid,2025-12-01
173,8343,1918,1,50,01/01/2026,2026-01-10
174,4528,1681,0,-50,yesterday,invalid
174,87,1741,5,20,2026-01-01,2026-01-10
176,126,1925,5000,50,yesterday,invalid
177,2884,1163,-1,100,invalid,2026-01-10
178,10347,1836,1,50,invalid,2025-12-01
179,9395,380,0,20,2026-01-01,2026-01-10
180,10695,1404,0,,2026-01-01,
181,10691,899,5000,100,invalid,2025-12-01
181,4660,2010,5,20,yesterday,2025-12-01
182,9151,1381,2,$25,01/01/2026,invalid
184,6158,953,5,,2026-01-01,2026-01-10
185,2244,1459,0,100,2026-01-01,invalid
186,807,1768,5,50,01/01/2026,2026-01-10
187,4833,250,5000,-50,yesterday,
188,4521,2095,2,-50,01/01/2026,invalid
189,5555,1665,2,$25,01/01/2026,2026-01-10
190,9524,606,5000,50,invalid,2026-01-10
191,7769,1941,1,100,invalid,2025-12-01
191,8040,992,1,,yesterday,
193,1082,427,5,50,2026-01-01,2025-12-01
193,9856,973,0,20,yesterday,2026-01-10
194,3116,1520,5,20,01/01/2026,2026-01-10
196,3942,1755,-1,$25,yesterday,2025-12-01
197,9750,1209,1,50,01/01/2026,2026-01-10
197,5829,1552,0,100,invalid,2025-12-01
198,8020,148,-1,-50,invalid,2025-12-01
200,6016,1695,2,$25,invalid,2026-01-10
200,468,813,1,50,2026-01-01,2026-01-10
202,4339,543,5000,50,2026-01-01,
203,4520,233,2,50,yesterday,
204,5614,1044,0,100,01/01/2026,2025-12-01
205,6059,571,2,-50,2026-01-01,2025-12-01
206,7706,1240,5,20,2026-01-01,
206,2681,1995,-1,50,01/01/2026,
208,3153,2134,1,50,2026-01-01,invalid
208,938,1104,5000,20,2026-01-01,2025-12-01
209,8881,1840,1,20,yesterday,2025-12-01
211,6023,356,-1,100,yesterday,
212,684,255,1,100,invalid,2025-12-01
213,10992,663,2,50,yesterday,
214,3632,638,0,50,invalid,
215,561,909,-1,$25,01/01/2026,
215,6954,1147,-1,$25,invalid,2025-12-01
217,2479,1308,2,,yesterday,invalid
218,2960,646,5000,-50,yesterday,2026-01-10
218,4717,1047,2,100,2026-01-01,
220,4695,1658,2,-50,2026-01-01,
221,3749,2062,5,100,invalid,
222,10422,2169,-1,20,01/01/2026,
222,7524,1033,5,,invalid,
224,9957,430,1,20,01/01/2026,2026-01-10
225,2374,336,2,20,yesterday,2026-01-10
225,6875,571,5,20,yesterday,2025-12-01
227,10476,124,2,,01/01/2026,2025-12-01
228,2351,1791,5,50,2026-01-01,2026-01-10
229,7284,1161,-1,$25,yesterday,2026-01-10
230,5837,1048,-1,100,2026-01-01,
231,9112,218,1,$25,yesterday,invalid
231,5420,2127,5000,20,invalid,2025-12-01
233,6194,638,2,50,01/01/2026,2025-12-01
233,4523,1759,-1,100,invalid,
234,5894,588,1,100,invalid,
236,7660,870,2,100,yesterday,2026-01-10
236,3027,234,0,-50,01/01/2026,invalid
238,5972,764,2,50,2026-01-01,invalid
238,2398,1852,2,100,2026-01-01,invalid
240,1137,555,1,20,invalid,2026-01-10
240,5986,2126,-1,50,01/01/2026,2025-12-01
241,2082,1280,-1,100,01/01/2026,2026-01-10
242,8422,1370,-1,-50,yesterday,2025-12-01
244,871,1439,2,$25,yesterday,invalid
244,7197,1867,1,,01/01/2026,invalid
246,7247,1659,0,50,2026-01-01,2025-12-01
246,7264,502,5000,$25,invalid,invalid
248,542,362,2,50,invalid,invalid
249,2857,807,5000,$25,invalid,invalid
250,8883,902,5,20,yesterday,2025-12-01
250,2307,1510,5000,50,yesterday,
252,1200,1111,-1,-50,yesterday,invalid
253,5551,1129,1,$25,01/01/2026,invalid
254,8876,2154,-1,,2026-01-01,2025-12-01
255,323,1798,-1,-50,invalid,
256,7796,1456,5,50,invalid,2025-12-01
257,10264,748,5,100,01/01/2026,
258,452,789,1,$25,yesterday,2025-12-01
258,6712,208,5000,50,yesterday,invalid
260,3260,1024,2,20,invalid,2025-12-01
260,3412,163,2,,01/01/2026,
261,7626,1112,2,,yesterday,2026-01-10
263,8256,2175,-1,50,01/01/2026,invalid
264,8988,468,0,,invalid,2026-01-10
264,652,1203,5000,-50,2026-01-01,2026-01-10
265,10239,1415,1,50,2026-01-01,2026-01-10
267,2677,1665,0,50,2026-01-01,invalid
268,6408,1594,5000,50,yesterday,
268,1255,250,5000,-50,2026-01-01,2025-12-01
269,7486,1053,-1,20,yesterday,invalid
271,5242,2099,-1,$25,01/01/2026,2025-12-01
272,6707,594,0,20,invalid,2026-01-10
273,10502,488,-1,100,yesterday,2025-12-01
274,3882,846,-1,,01/01/2026,2026-01-10
274,8172,736,-1,20,2026-01-01,2025-12-01
275,2303,1257,5000,-50,2026-01-01,
277,10018,1466,1,50,2026-01-01,invalid
278,5361,1504,2,$25,2026-01-01,2026-01-10
279,5747,693,5000,20,invalid,invalid
280,9069,805,-1,,01/01/2026,2025-12-01
280,3967,9,2,20,yesterday,2025-12-01
281,1086,1678,5,50,invalid,invalid
283,2401,1446,5000,-50,2026-01-01,2025-12-01
284,3112,481,5000,-50,2026-01-01,2025-12-01
285,8837,758,5000,,invalid,invalid
286,1308,358,5,20,01/01/2026,2026-01-10
287,3439,205,-1,20,invalid,2026-01-10
288,7521,1691,1,-50,yesterday,2026-01-10
289,8402,1024,2,50,01/01/2026,
290,4204,564,5000,50,01/01/2026,2026-01-10
290,8182,2118,1,-50,01/01/2026,2026-01-10
292,2624,1947,0,100,yesterday,
292,353,1957,0,50,2026-01-01,
294,6696,896,5,20,01/01/2026,2026-01-10
295,3069,338,1,-50,2026-01-01,2026-01-10
296,1135,192,5000,-50,invalid,
