payment_id,order_id,amount,status,payment_method
1,28041,500 USD,,CARD
2,10792,500 USD,paid,Transfer
3,17341,,PAID,crypto
4,12075,,,Card
5,31778,100,failed,Card
6,1279,500 USD,PAID,Transfer
7,21277,100,PAID,Transfer
8,4927,-50,failed,Card
9,13324,100,PAID,CARD
10,16527,250,failed,
11,28239,500 USD,,Card
12,17935,250,,crypto
13,10628,250,paid,crypto
14,6700,,,
15,18847,250,pending,
16,21984,$500,pending,CARD
17,23878,500 USD,pending,Transfer
18,11452,250,paid,Card
19,21638,,PAID,
20,488,,failed,
21,4289,500 USD,,crypto
22,18659,100,pending,
23,26214,-50,,CARD
24,23469,100,,Transfer
25,16575,$500,paid,Cash
26,10711,250,,CARD
27,12593,,failed,CARD
28,21634,,failed,
29,29411,100,paid,Transfer
30,5520,,paid,Card
31,23042,500 USD,,Card
32,13939,500 USD,,Card
33,9155,250,pending,
34,31175,-50,paid,
35,9040,100,pending,
36,19116,-50,PAID,Cash
37,25146,$500,paid,CARD
38,11980,-50,,CARD
39,16205,250,pending,
40,18778,,paid,crypto
41,8811,100,pending,
42,3901,250,PAID,Card
43,8459,500 USD,paid,
44,14104,-50,PAID,Transfer
45,29628,500 USD,paid,Card
46,29941,-50,pending,
47,30415,,PAID,Cash
48,5843,$500,,
49,29313,$500,PAID,CARD
50,21907,100,,CARD
51,29129,500 USD,PAID,Card
52,13321,-50,pending,
53,5023,,,crypto
54,31231,250,,
55,23954,$500,failed,CARD
56,3348,100,PAID,Transfer
57,16710,$500,PAID,crypto
58,4183,$500,failed,CARD
59,30083,$500,PAID,
60,438,-50,pending,Card
61,31518,500 USD,PAID,CARD
62,12456,500 USD,,crypto
63,5068,250,PAID,Transfer
64,12536,-50,,Cash
65,20827,-50,,
66,14141,100,PAID,
67,2305,250,,CARD
68,7028,250,,Card
69,18808,$500,pending,Card
70,29089,,PAID,Cash
71,10994,,,
72,28212,,failed,Cash
73,25216,500 USD,,CARD
74,3052,-50,failed,Card
75,20510,100,failed,Card
76,3424,250,PAID,CARD
77,10747,-50,,
78,24524,250,PAID,CARD
79,19610,,pending,
80,13583,500 USD,PAID,CARD
81,18069,-50,pending,Cash
82,19962,500 USD,pending,crypto
83,16259,-50,pending,
84,30364,-50,paid,Cash
85,22424,500 USD,paid,Transfer
86,7881,250,paid,
87,4241,100,paid,Cash
88,17319,,pending,Card
89,10213,$500,,Transfer
90,30799,,paid,
91,4750,$500,,CARD
92,59,,PAID,CARD
93,22460,,pending,Card
94,9797,,failed,Cash
95,31110,500 USD,,crypto
96,19765,500 USD,,CARD
97,6603,,,Card
98,14691,$500,,Card
99,14228,-50,paid,crypto
100,23178,250,paid,Card
101,31708,-50,pending,
102,17894,500 USD,failed,CARD
103,26767,$500,pending,Card
104,9757,100,,
105,15929,100,PAID,CARD
106,5869,100,failed,Card
107,20809,$500,failed,
108,8144,-50,failed,
109,4215,250,PAID,Card
110,12716,$500,,Transfer
111,12420,100,pending,CARD
112,6374,$500,paid,Card
113,21220,100,PAID,CARD
114,523,500 USD,,
115,3454,,,crypto
116,473,250,PAID,crypto
117,21492,-50,,crypto
118,2438,500 USD,,Card
119,21656,100,failed,
120,10292,-50,paid,CARD
121,7964,$500,PAID,Transfer
122,28315,250,pending,Transfer
123,31064,,,Transfer
124,10348,250,,
125,185,100,,Transfer
