review_id,customer_id,product_id,rating,review_text
1,1353,274,0.0,Bad
2,10360,1437,,Bad
3,9345,498,8.0,
4,2092,570,8.0,
5,5140,1191,,
6,10595,141,0.0,Great product
7,7130,2015,,Bad
8,8745,1449,1.0,
9,6079,904,0.0,Bad
10,4471,835,5.0,
11,2274,315,0.0,Lorem ipsum
12,6790,75,8.0,Bad
13,1331,1276,1.0,
14,3840,560,2.0,
15,4742,597,0.0,Great product
16,7408,1264,,
17,7394,1172,8.0,Lorem ipsum
18,5886,1361,3.0,Great product
19,5355,753,4.0,Great product
20,352,2151,0.0,Lorem ipsum
21,10692,995,5.0,Lorem ipsum
22,7314,369,5.0,Great product
23,8660,130,0.0,Lorem ipsum
24,987,1500,4.0,Great product
25,96,1511,0.0,
26,637,1511,1.0,Great product
27,3614,198,,Lorem ipsum
28,1753,2131,5.0,
29,6791,1450,0.0,
30,7740,1529,,
31,7299,1267,,
32,9268,836,1.0,Great product
33,10216,1593,5.0,Lorem ipsum
34,7211,1283,5.0,Great product
35,4110,1849,5.0,Great product
36,7425,782,3.0,
37,5598,1717,3.0,
38,3256,500,4.0,
39,2773,278,0.0,Great product
40,7343,316,3.0,
41,4092,898,3.0,Lorem ipsum
42,9748,868,8.0,
43,8788,1075,5.0,
44,5320,1480,3.0,
45,6666,2130,5.0,Lorem ipsum
46,9820,469,,Bad
47,6020,138,4.0,Great product
48,5250,998,8.0,Bad
49,4428,2118,1.0,Bad
50,5131,303,5.0,Bad
51,2554,1689,1.0,Bad
52,9312,583,,Great product
53,1193,206,,Great product
54,8086,1774,8.0,Bad
55,2267,1497,4.0,Lorem ipsum
56,4146,204,5.0,Great product
57,3592,117,3.0,Lorem ipsum
58,5973,589,5.0,
59,995,1217,4.0,Lorem ipsum
60,889,393,,Great product
61,7053,635,5.0,Bad
62,4391,1204,,
63,7031,655,2.0,
64,7927,854,1.0,
65,5500,44,,
66,7938,435,3.0,
67,4750,2189,2.0,
68,9985,243,2.0,Great product
69,6027,1498,2.0,Great product
70,10084,1099,3.0,Great product
71,9166,867,3.0,Lorem ipsum
72,6677,74,2.0,Bad
73,8705,1891,2.0,Lorem ipsum
74,1024,204,,Lorem ipsum
75,8689,2115,4.0,
76,7043,1645,0.0,
77,3393,1537,,Lorem ipsum
78,4122,1158,8.0,Great product
79,6515,2117,0.0,Lorem ipsum
80,439,1064,8.0,
81,7986,696,5.0,Bad
82,3936,1686,8.0,Great product
83,8706,2066,8.0,Great product
84,9296,1200,,Lorem ipsum
85,8200,520,8.0,
86,10039,1739,2.0,
87,1881,1662,,
88,10983,1619,,
89,3005,1780,5.0,
90,10968,1869,3.0,
91,308,1081,8.0,Lorem ipsum
92,10825,1666,0.0,
93,3042,160,1.0,Great product
94,2176,1030,8.0,
95,8953,449,,
96,4309,94,,Great product
97,5640,822,8.0,Bad
98,8687,4,,
99,3617,1340,5.0,Great product
100,5409,281,4.0,
101,7377,2022,0.0,Lorem ipsum
102,4148,1729,,Great product
103,7889,1826,3.0,
104,1317,223,5.0,
105,2245,1777,0.0,Great product
106,9536,722,5.0,
107,4654,709,3.0,
108,2204,311,3.0,Great product
109,9979,233,1.0,
110,9810,388,1.0,Bad
111,3521,1720,1.0,Lorem ipsum
112,859,1438,2.0,Great product
113,9433,1343,3.0,Bad
114,4062,809,1.0,Bad
115,10619,626,5.0,
116,2475,1466,1.0,
117,1408,1967,3.0,Great product
118,10469,1051,5.0,Great product
119,7010,1985,5.0,
120,7448,1661,5.0,Great product
121,1841,1516,,Great product
122,753,103,0.0,
123,8821,521,2.0,Lorem ipsum
124,810,27,3.0,Great product
125,5820,2029,2.0,
126,10638,390,4.0,Great product
127,9943,146,5.0,
128,4013,1223,,Great product
129,7276,1484,2.0,Bad
130,7217,151,8.0,Lorem ipsum
131,3902,1232,1.0,Lorem ipsum
132,10097,1067,5.0,Great product
133,1388,482,0.0,Great product
134,6253,658,3.0,
135,2672,1671,,Bad
136,1995,1973,2.0,Great product
137,8296,384,4.0,Bad
138,8629,972,,Lorem ipsum
139,9711,1476,8.0,Great product
140,8903,1917,2.0,Bad
141,5584,2120,,Great product
142,9438,777,3.0,
143,8072,12,0.0,
144,5026,928,4.0,Great product
145,1311,1084,,Lorem ipsum
146,5287,86,4.0,
147,7600,2107,8.0,
148,9275,432,8.0,Bad
149,2466,610,3.0,Great product
150,1737,1285,0.0,
151,7573,768,,Lorem ipsum
152,6568,388,4.0,Bad
153,3747,247,2.0,Great product
154,6047,1700,,
155,8321,2091,1.0,
156,8068,1487,8.0,Lorem ipsum
157,519,1959,8.0,
158,5838,416,8.0,Great product
159,10354,888,0.0,
160,4219,1728,2.0,Great product
161,1490,217,4.0,Great product
162,9983,1584,0.0,Lorem ipsum
163,6650,869,2.0,Bad
164,5613,105,,
165,8542,1325,1.0,Bad
166,4136,1766,4.0,Lorem ipsum
167,508,1233,3.0,Great product
168,4056,1866,5.0,Great product
169,6688,1246,0.0,
170,7534,1877,3.0,Lorem ipsum
171,8824,1796,1.0,Great product
172,7016,1524,5.0,Lorem ipsum
173,4233,167,2.0,Bad
174,982,1437,8.0,
175,388,2135,,
176,2281,882,1.0,Great product
177,10549,1404,3.0,Great product
178,485,747,8.0,Bad
179,8553,132,,
180,9246,355,1.0,Great product
181,6005,2131,1.0,
182,3863,1480,8.0,
183,6877,922,0.0,Great product
184,3615,1626,,
185,1791,1793,4.0,
186,1934,994,0.0,Lorem ipsum
187,5840,1782,2.0,
188,9448,1186,1.0,Great product
189,1095,2163,4.0,Lorem ipsum
190,484,319,5.0,
191,900,1346,,Great product
192,7655,1725,1.0,
193,4329,1903,4.0,Bad
194,7433,164,4.0,Bad
195,10532,846,1.0,Lorem ipsum
196,4592,1501,8.0,
197,8767,991,2.0,Bad
198,396,472,5.0,
199,3280,471,1.0,
200,470,21,1.0,
201,4373,1784,2.0,Lorem ipsum
202,10172,106,,Bad
203,8648,95,0.0,Great product
204,4799,1326,4.0,
205,4882,54,3.0,Bad
206,2790,30,0.0,Bad
207,10732,351,3.0,
208,9671,2153,3.0,
209,366,788,1.0,Great product
210,7694,1729,4.0,Lorem ipsum
211,10937,415,3.0,Bad
212,7373,976,4.0,Great product
213,5548,65,5.0,Bad
214,7472,1649,2.0,Great product
215,5012,1514,,
216,6060,254,0.0,
217,7132,465,3.0,Bad
218,910,1136,,Great product
219,1660,1679,,
220,10879,453,0.0,Bad
221,19,1707,4.0,
222,4080,10,0.0,
223,8139,1653,4.0,
